Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Rondae Hollis-Jefferson,78,675,452,154,82,44,15,116,0,0,8,0,1095.0,14.04
Jordan Clarkson,82,1205,246,213,88,8,117,164,0,0,0,0,1148.0,14.0
JaMychal Green,77,689,544,84,47,34,55,94,0,0,10,0,1078.0,14.0
Maurice Harkless,77,773,341,88,85,70,68,86,0,0,2,0,1075.5,13.97
Kent Bazemore,73,801,231,177,91,52,92,125,0,0,1,0,1016.5,13.92
Ish Smith,81,758,235,418,61,33,28,112,0,0,3,0,1125.0,13.89
Andre Iguodala,76,574,304,261,76,39,64,58,0,0,0,0,1056.0,13.89
Seth Curry,70,898,179,189,79,7,137,92,0,0,1,0,966.5,13.81
Malcolm Brogdon,75,767,213,317,84,12,78,113,0,0,2,1,1035.5,13.81
Tim Hardaway Jr.,79,1143,224,182,55,15,149,106,0,0,0,0,1086.0,13.75
Courtney Lee,77,835,259,179,81,24,108,69,0,0,0,0,1050.5,13.64
Alex Len,77,613,510,44,38,98,3,102,0,0,11,0,1043.0,13.55
Andre Roberson,79,522,403,79,94,79,45,51,0,0,2,0,1062.5,13.45
P.J. Tucker,81,540,471,99,116,19,70,66,0,0,3,0,1082.0,13.36
Willy Hernangomez,72,587,502,96,41,36,4,100,0,0,11,0,958.5,13.31
Deron Williams,64,701,147,360,31,8,85,138,0,0,3,0,843.0,13.17
J.J. Barea,35,381,84,193,14,1,53,63,0,0,0,0,461.0,13.17
Thabo Sefolosha,62,444,270,107,96,31,41,58,0,0,0,0,815.5,13.15
Ty Lawson,69,681,179,334,74,6,34,129,0,0,3,1,906.5,13.14
Sean Kilpatrick,70,919,280,157,45,6,105,135,0,0,4,0,920.0,13.14
Edy Tavares,2,8,11,1,0,6,0,2,0,0,0,0,26.0,13.0
Josh Huestis,2,14,9,3,0,3,2,0,0,0,0,0,26.0,13.0
Jameer Nelson,75,687,192,385,54,8,106,128,0,0,4,0,973.5,12.98
Jon Leuer,75,767,402,111,31,26,49,66,0,0,3,0,972.0,12.96
Emmanuel Mudiay,55,603,178,217,41,13,56,123,0,0,1,0,710.5,12.92
Rodney Hood,59,748,202,96,38,11,114,65,0,0,0,0,762.0,12.92
JJ Redick,78,1173,171,110,54,13,201,98,0,0,0,0,1004.0,12.87
Tyreke Evans,40,411,137,124,35,9,42,61,0,0,0,0,514.5,12.86
Kyle O'Quinn,79,496,439,117,36,104,2,76,0,0,6,0,1015.0,12.85
Jordan Crawford,19,267,34,57,11,2,37,25,0,0,0,0,244.0,12.84
Jahlil Okafor,50,590,240,58,20,49,0,91,0,0,2,0,642.0,12.84
Bismack Biyombo,81,483,567,74,25,91,0,95,0,0,10,0,1029.5,12.71
Alex Poythress,6,64,29,5,3,2,6,3,0,0,0,0,76.0,12.67
Yogi Ferrell,46,462,111,172,42,9,68,70,0,0,0,0,580.0,12.61
Luol Deng,56,425,295,74,48,20,51,43,0,0,5,0,705.0,12.59
