"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"63","Brandon Allen","QB","FA","3","-0.1","-","-","-","-","-","-","-","-","-","-","9.5","-","-1","-","-","-","-","2.8","8.4"
"64","Skylar Thompson","QB","FA","3","-","3.6","4.3","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","2.6","7.9"
"65","Carson Wentz","QB","FA","3","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0.8","-","-","3.9","1.6","4.7"
"66","Taylor Heinicke","QB","FA","4","-","-","1","-","-","-","-","-","-","-","-","-","-","1.2","0.2","-","0.8","-","0.8","3.1"
"67","Hendon Hooker","QB","NYJ","3","-","-","-","-","-","0.7","-","0.2","-","-","1.8","BYE","-","-","-","-","-","-","0.9","2.7"
"68","Nick Mullens","QB","JAC","4","-","-","0","-","1","-","-","-","-","-","-","0.6","-","-0.2","-","-","-","-","0.3","1.3"
"69","Feleipe Franks","QB","FA","15","0","0","0","0","0","0","0","-","-","0","-","0","0","0","0","0","0","1.2","0.1","1.2"
"70","Mike White","QB","FA","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.1","1.1","1.1"
"71","Josh Johnson","QB","FA","6","-","-","-","0","-","-","0","-","0.2","-","-","-","-","-","-0.1","-","0.6","0","0.1","0.8"
"71","Kyle Allen","QB","BUF","1","-","-","-","-","0.8","-","-","-","-","-","-","BYE","-","-","-","-","-","-","0.8","0.8"
"73","Chris Oladokun","QB","KC","1","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","-","-","0.5","0.5","0.5"
"73","Jarrett Stidham","QB","DEN","3","-","-","-","-","-","-","-0.2","-","-","-","0","-","-","BYE","-","-","-","0.7","0.2","0.5"
"75","Sam Howell","QB","DAL","3","-","-","-","0","-","-","0","-","-","-","-","-","-","-","0.2","-","-","-","0.1","0.2"
"76","Emory Jones","QB","FA","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","0","0"
"76","C.J. Beathard","QB","FA","1","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","0","0"
"76","Jake Luton","QB","FA","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Austin Reed","QB","FA","1","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Trevor Siemian","QB","FA","1","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Jordan Travis","QB","FA","1","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Jaren Hall","QB","FA","1","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"76","Sam Hartman","QB","WAS","2","0","-","-","-","-","-","-","-","-","-","-","-","0","BYE","-","-","-","-","0","0"
"76","Jeff Driskel","QB","WAS","2","0","0","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","0","0"
"85","Jake Browning","QB","TB","3","-","-","-","-","-","-","-","0","-0.1","-","BYE","-","-","-","-","-0.1","-","-","-0.1","-0.2"
"85","Kyle Trask","QB","FA","4","-0.2","-","-","-","-","-","-","-","-","-","-","-","0.2","-","0","-","-0.2","-","-0.1","-0.2"
"87","Tyson Bagent","QB","CHI","4","-","-","-","-","-0.4","-0.3","BYE","-","-","-","-","-","-","0.2","0.2","-","-","-","-0.1","-0.3"
"88","Clayton Tune","QB","FA","6","-","-2.6","-","-","-","-","0.2","-","0","-0.1","-","-","-","-","0.2","-","-","0.2","-0.3","-2.1"
""
""
