Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kyle Anderson,43,346,251,128,54,37,9,58,0,0,2,1,684.5,15.92
Al-Farouq Aminu,81,760,610,104,68,33,96,72,0,0,12,0,1284.0,15.85
Spencer Dinwiddie,68,1143,166,311,40,17,124,152,0,0,2,0,1074.5,15.8
JJ Redick,76,1372,186,206,32,17,240,101,0,0,1,0,1196.0,15.74
Goran Dragic,36,494,111,174,30,5,57,71,0,0,4,1,565.5,15.71
Marvin Williams,75,756,407,92,71,61,140,47,0,0,5,0,1169.0,15.59
Dennis Smith Jr.,53,722,155,252,67,20,67,154,0,0,2,1,825.5,15.58
Evan Fournier,81,1226,258,295,71,12,153,154,0,0,1,0,1255.5,15.5
Nicolas Batum,75,699,390,247,71,43,116,117,0,0,0,0,1155.5,15.41
Terrence Ross,81,1223,280,135,72,29,217,90,0,0,0,0,1247.0,15.4
Reggie Jackson,82,1260,216,344,55,9,174,148,0,0,0,0,1257.0,15.33
Mason Plumlee,82,637,524,243,66,76,2,126,0,0,9,0,1253.5,15.29
Patrick Beverley,78,596,388,300,67,43,112,85,0,0,6,0,1183.0,15.17
Jonathan Isaac,75,720,411,80,59,98,86,75,0,0,3,0,1136.0,15.15
Jordan Clarkson,81,1364,270,196,57,13,144,135,1,0,1,0,1227.0,15.15
Gordon Hayward,72,825,322,244,62,23,77,105,0,0,2,0,1084.0,15.06
Nemanja Bjelica,77,741,444,147,54,56,103,82,0,0,9,0,1160.0,15.06
Carmelo Anthony,10,134,54,5,4,7,21,8,0,0,0,0,150.5,15.05
Cedi Osman,76,991,357,195,60,11,130,114,0,0,3,0,1143.5,15.05
P.J. Tucker,82,601,479,96,132,39,146,63,0,0,3,0,1230.5,15.01
Thomas Bryant,72,758,454,92,25,67,33,60,0,0,14,0,1079.5,14.99
Taj Gibson,70,753,458,84,53,39,11,73,0,0,13,0,1048.0,14.97
Emmanuel Mudiay,59,873,196,228,43,19,69,140,0,0,1,0,880.0,14.92
Fred VanVleet,64,701,167,307,57,20,112,82,0,0,1,0,953.5,14.9
Marcus Smart,80,708,234,321,143,28,126,123,0,0,1,0,1192.0,14.9
Derrick White,67,663,247,263,67,47,48,97,0,0,0,0,996.5,14.87
Jae Crowder,80,951,384,133,64,31,173,85,0,0,3,0,1187.0,14.84
Kent Bazemore,67,779,261,152,89,42,96,121,0,0,0,0,991.5,14.8
Justin Holiday,82,857,323,146,121,36,162,104,0,0,3,0,1191.5,14.53
Eric Gordon,68,1103,148,129,41,27,216,90,0,0,0,0,982.5,14.45
Taurean Prince,55,742,199,118,53,19,123,100,0,0,0,0,793.5,14.43
Will Barton,43,494,199,124,18,22,67,65,0,0,1,0,619.5,14.41
Tomas Satoransky,80,709,279,399,82,13,64,120,0,0,7,1,1143.5,14.29
D.J. Augustin,81,948,203,426,52,4,131,128,0,0,4,0,1156.5,14.28
Kenneth Faried,37,384,250,20,17,23,8,33,0,0,14,0,527.0,14.24
Jaylen Brown,74,964,313,100,69,32,95,99,0,0,2,0,1047.5,14.16
Danny Green,80,821,317,126,73,53,198,75,0,0,1,0,1130.5,14.13
Joe Harris,76,1041,291,181,38,17,183,121,0,0,0,0,1073.0,14.12
Josh Jackson,79,910,347,183,74,56,73,173,0,0,2,0,1110.5,14.06
Alex Len,77,854,424,86,27,69,74,97,0,0,9,0,1078.0,14.0
Dwight Powell,77,815,411,112,44,50,39,67,0,0,6,0,1077.0,13.99
Collin Sexton,82,1371,236,243,44,6,119,185,0,0,2,0,1141.0,13.91
Delon Wright,75,653,266,248,88,30,50,77,0,0,4,3,1034.5,13.79
Tyler Johnson,57,619,173,166,54,27,90,77,0,0,0,0,778.5,13.66
Gary Harris,57,737,160,127,55,19,82,68,0,0,0,0,776.5,13.62
Shai Gilgeous-Alexander,82,889,232,270,96,45,51,141,0,0,1,0,1114.0,13.59
Jeff Green,77,946,309,137,43,39,111,101,0,0,2,0,1039.5,13.5
JaMychal Green,65,611,409,50,45,34,71,87,0,0,6,0,877.0,13.49
Terry Rozier,79,708,307,231,68,21,119,68,0,0,1,0,1062.5,13.45
J.J. Barea,38,415,95,211,22,1,38,72,0,0,3,0,509.5,13.41
Dario Saric,81,858,457,127,45,9,118,97,0,0,3,0,1086.0,13.41
Mikal Bridges,82,684,264,173,129,38,105,70,0,0,0,0,1095.5,13.36
Ed Davis,81,472,694,61,35,33,0,64,0,0,6,0,1069.0,13.2
DeAndre' Bembry,82,687,358,202,105,41,50,142,0,0,3,0,1081.5,13.19
Kevin Knox II,75,963,335,82,43,24,125,114,0,0,3,0,984.0,13.12
Maurice Harkless,60,460,269,74,67,53,33,45,0,0,2,0,786.5,13.11
Kelly Olynyk,79,787,375,140,53,37,113,114,0,0,4,0,1035.0,13.1
Monte Morris,82,851,194,297,73,4,94,52,0,0,1,0,1066.5,13.01
DeMarre Carroll,67,744,349,85,31,10,106,73,0,0,3,0,871.0,13.0
Dion Waiters,44,527,116,121,29,9,109,64,0,0,0,0,567.0,12.89
Kadeem Allen,19,189,51,76,16,4,17,26,0,0,0,0,244.0,12.84
Kevin Huerter,75,727,245,214,65,25,136,109,0,0,1,0,962.5,12.83
Ivica Zubac,59,525,362,63,14,51,0,70,0,0,8,0,755.5,12.81
Cory Joseph,82,537,279,321,94,22,55,80,0,0,1,0,1049.0,12.79
Rondae Hollis-Jefferson,59,527,310,96,44,27,9,68,0,0,4,0,752.0,12.75
Bruno Caboclo,34,282,158,50,14,33,48,38,0,0,3,0,432.0,12.71
Wesley Matthews,69,840,170,160,54,17,150,91,0,0,0,0,876.0,12.7
Joakim Noah,42,298,238,89,20,31,0,50,0,0,4,0,532.0,12.67
Andre Iguodala,68,389,252,216,61,51,48,52,0,0,0,0,858.5,12.62
Damyean Dotson,73,779,262,135,58,10,126,71,0,0,1,0,915.5,12.54
Richaun Holmes,70,572,331,60,42,79,0,52,0,0,5,0,872.0,12.46
Tyus Jones,68,468,134,327,81,5,40,47,0,0,5,0,845.0,12.43
Markieff Morris,58,547,265,79,36,22,68,54,0,0,2,0,715.5,12.34
Bryn Forbes,82,967,239,175,45,4,176,80,0,0,1,0,1004.5,12.25
Reggie Bullock Jr.,63,711,173,129,40,12,148,65,0,0,0,0,770.5,12.23
Kentavious Caldwell-Pope,82,938,238,110,73,13,151,65,0,0,0,0,999.5,12.19
Kenrich Williams,46,279,219,83,45,19,52,36,0,0,1,0,560.5,12.18
Maxi Kleber,71,485,329,70,36,78,77,54,0,0,3,0,857.0,12.07
Josh Hart,67,525,248,93,64,40,92,58,0,0,4,0,803.5,11.99
Markelle Fultz,19,155,70,59,17,5,4,25,0,0,0,0,227.5,11.97
Dorian Finney-Smith,81,608,389,95,69,36,79,74,0,0,3,0,966.5,11.93
Alex Caruso,25,229,67,77,24,9,24,42,0,0,3,0,297.5,11.9
Evan Turner,73,494,328,283,33,18,11,114,0,0,3,2,858.5,11.76
Kevon Looney,80,500,417,123,46,53,1,51,0,0,1,0,938.5,11.73
